                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.65945,                0.42912,                 1.0658,                0.77557,                0.83235,                0.82882,                0.59317,                0.87639,                 0.6467,                 1.2391,             0.00053906,             0.00053906,             0.00053906
                     80,                0.64943,                0.42028,                 1.0429,                0.77956,                0.79588,                0.83371,                0.59743,                0.86784,                0.62372,                 1.2164,             0.00053172,             0.00053172,             0.00053172
                     81,                0.63267,                0.41531,                 1.0366,                 0.8251,                0.81121,                0.82673,                0.59131,                 0.8513,                0.69546,                 1.2439,             0.00052439,             0.00052439,             0.00052439
                     82,                0.63829,                0.41725,                 1.0534,                0.74067,                0.81472,                0.80149,                0.58433,                 0.8594,                0.71479,                 1.2597,             0.00051706,             0.00051706,             0.00051706
                     83,                0.64118,                0.41492,                 1.0561,                0.73229,                0.87032,                0.84125,                0.59654,                0.87967,                0.64321,                 1.2432,             0.00050973,             0.00050973,             0.00050973
                     84,                0.64856,                0.41578,                 1.0581,                0.86827,                0.77174,                0.85195,                0.61877,                0.85302,                0.56972,                 1.2236,             0.00050239,             0.00050239,             0.00050239
                     85,                 0.6535,                0.41698,                 1.0674,                 0.8331,                0.76332,                0.79712,                0.57582,                0.84417,                0.60845,                 1.1998,             0.00049506,             0.00049506,             0.00049506
                     86,                 0.6416,                0.40448,                  1.055,                0.77489,                 0.8951,                 0.8343,                0.59321,                0.87488,                0.63824,                 1.2282,             0.00048773,             0.00048773,             0.00048773
                     87,                0.63254,                0.41312,                 1.0411,                 0.8247,                0.79862,                0.84387,                0.60281,                0.88222,                0.62716,                 1.2454,              0.0004804,              0.0004804,              0.0004804
                     88,                0.62725,                0.40192,                 1.0381,                0.77856,                0.88595,                0.84347,                0.59122,                0.84588,                0.65608,                 1.2056,             0.00047306,             0.00047306,             0.00047306
                     89,                0.64561,                 0.4157,                 1.0619,                0.84689,                0.81204,                0.86105,                0.58864,                0.85265,                0.66331,                 1.2182,             0.00046573,             0.00046573,             0.00046573
                     90,                0.62159,                0.39779,                 1.0387,                0.80149,                0.83988,                0.83038,                0.58023,                0.86515,                0.68307,                 1.2282,              0.0004584,              0.0004584,              0.0004584
                     91,                0.61332,                  0.408,                 1.0449,                 0.8068,                0.78112,                0.78699,                 0.5752,                 0.8664,                0.64808,                 1.2775,             0.00045107,             0.00045107,             0.00045107
                     92,                0.61335,                0.40287,                 1.0496,                0.80377,                0.82995,                0.84174,                0.59294,                0.83595,                0.62036,                 1.2391,             0.00044373,             0.00044373,             0.00044373
                     93,                0.60333,                0.38852,                 1.0263,                0.84425,                0.75216,                0.84127,                0.59436,                0.86635,                0.64645,                 1.2258,              0.0004364,              0.0004364,              0.0004364
                     94,                0.61128,                0.38808,                 1.0283,                0.82527,                0.82741,                0.85772,                0.59724,                 0.8159,                0.55566,                 1.1618,             0.00042907,             0.00042907,             0.00042907
                     95,                 0.6142,                0.38916,                 1.0449,                0.79251,                0.81354,                0.83142,                0.61083,                0.80665,                0.60064,                 1.1582,             0.00042174,             0.00042174,             0.00042174
                     96,                0.60697,                0.38322,                 1.0323,                0.78292,                0.76841,                0.80119,                0.57553,                0.84469,                0.65611,                 1.1968,              0.0004144,              0.0004144,              0.0004144
                     97,                0.61313,                0.39219,                 1.0425,                0.81802,                0.78854,                0.84889,                0.58007,                0.86154,                0.71215,                 1.2151,             0.00040707,             0.00040707,             0.00040707
                     98,                0.59416,                0.36943,                 1.0223,                0.80195,                0.76894,                0.81999,                0.58977,                0.89982,                0.67059,                 1.2513,             0.00039974,             0.00039974,             0.00039974
                     99,                0.58029,                0.36468,                 1.0128,                0.83166,                0.82892,                0.84576,                0.59475,                0.85451,                0.66051,                 1.2186,             0.00039241,             0.00039241,             0.00039241
                    100,                0.59941,                0.38929,                 1.0205,                0.81229,                0.80746,                0.80509,                0.58092,                0.87597,                0.59648,                 1.2606,             0.00038507,             0.00038507,             0.00038507
                    101,                0.59124,                 0.3741,                 1.0287,                0.79683,                0.77877,                0.76976,                 0.5722,                0.84462,                0.63436,                 1.2146,             0.00037774,             0.00037774,             0.00037774
                    102,                 0.5849,                 0.3623,                 1.0199,                0.77983,                0.76743,                0.78121,                 0.5729,                0.84153,                0.65809,                  1.206,             0.00037041,             0.00037041,             0.00037041
                    103,                0.59473,                0.38244,                 1.0253,                0.85778,                0.84007,                0.85148,                0.59803,                 0.8314,                0.64505,                  1.204,             0.00036307,             0.00036307,             0.00036307
                    104,                0.58825,                0.36548,                   1.03,                0.84429,                0.83016,                0.83339,                0.58763,                0.84591,                0.64824,                 1.1897,             0.00035574,             0.00035574,             0.00035574
