                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.66802,                0.42019,                 1.0053,                 0.8399,                0.89461,                0.88788,                0.62189,                0.91178,                0.67048,                 1.1541,             0.00047306,             0.00047306,             0.00047306
                     60,                0.63741,                 0.4017,                0.97622,                0.85873,                0.85484,                0.88257,                0.63616,                0.83572,                0.61618,                 1.1134,             0.00046206,             0.00046206,             0.00046206
                     61,                0.66465,                0.42317,                0.99626,                 0.8311,                0.86806,                0.86808,                0.62811,                0.85594,                0.61607,                 1.1242,             0.00045107,             0.00045107,             0.00045107
                     62,                0.67514,                0.42625,                 1.0048,                0.82363,                0.87796,                0.87799,                0.63895,                0.83585,                0.64071,                 1.1296,             0.00044007,             0.00044007,             0.00044007
                     63,                0.62826,                0.39515,                0.98646,                 0.8668,                0.92521,                0.90724,                0.63312,                0.79669,                0.62468,                 1.0963,             0.00042907,             0.00042907,             0.00042907
                     64,                0.64988,                0.40849,                0.99632,                 0.8411,                0.92693,                 0.8963,                0.61575,                0.86701,                  0.659,                 1.1112,             0.00041807,             0.00041807,             0.00041807
                     65,                 0.6246,                0.39739,                0.98436,                0.84423,                0.93443,                0.89358,                0.60329,                0.85522,                0.62366,                 1.1172,             0.00040707,             0.00040707,             0.00040707
                     66,                0.61909,                0.39191,                0.97677,                0.86336,                 0.8736,                0.88736,                 0.5964,                0.89954,                0.68908,                 1.1672,             0.00039607,             0.00039607,             0.00039607
                     67,                0.62294,                0.40271,                0.98246,                0.76811,                0.88582,                0.85599,                0.61606,                0.87293,                0.73445,                 1.1557,             0.00038507,             0.00038507,             0.00038507
                     68,                0.61973,                0.39417,                0.97922,                0.87135,                0.86721,                0.87427,                0.60446,                0.85209,                0.67967,                 1.1164,             0.00037407,             0.00037407,             0.00037407
                     69,                0.62828,                0.39558,                0.98436,                0.82801,                  0.899,                0.87899,                0.62194,                0.82258,                0.64763,                 1.1086,             0.00036307,             0.00036307,             0.00036307
                     70,                0.60998,                0.39609,                0.97341,                0.86603,                0.83602,                0.85309,                0.61077,                0.87818,                0.71534,                 1.1271,             0.00035208,             0.00035208,             0.00035208
                     71,                0.61889,                0.40206,                0.97457,                0.81247,                0.89881,                 0.8694,                0.61513,                0.86705,                0.66202,                 1.0905,             0.00034108,             0.00034108,             0.00034108
                     72,                0.60734,                0.38363,                0.97932,                0.87235,                0.82588,                0.85031,                 0.6325,                0.85296,                0.69142,                 1.1454,             0.00033008,             0.00033008,             0.00033008
                     73,                0.61474,                0.38079,                0.98091,                0.82105,                0.83574,                0.83081,                0.59312,                0.85511,                0.65351,                 1.1199,             0.00031908,             0.00031908,             0.00031908
                     74,                0.60348,                0.37904,                0.97151,                0.79412,                0.84061,                0.82858,                0.60032,                0.85596,                 0.6503,                 1.1235,             0.00030808,             0.00030808,             0.00030808
                     75,                0.59442,                0.36905,                0.96933,                  0.836,                0.86042,                 0.8323,                0.61261,                0.84029,                0.63186,                  1.116,             0.00029708,             0.00029708,             0.00029708
                     76,                0.59795,                0.36996,                0.97143,                0.81794,                 0.8571,                0.84619,                0.62352,                0.85648,                0.61375,                 1.1149,             0.00028608,             0.00028608,             0.00028608
                     77,                0.57244,                0.36285,                0.96677,                0.84976,                 0.7826,                0.84895,                0.64353,                0.84215,                0.62952,                 1.1011,             0.00027508,             0.00027508,             0.00027508
                     78,                0.58912,                0.36852,                0.96889,                0.86352,                 0.8789,                0.87163,                0.63571,                0.90208,                0.69516,                 1.1655,             0.00026408,             0.00026408,             0.00026408
                     79,                0.58325,                0.36281,                0.96929,                0.84216,                0.88197,                0.86412,                0.63884,                0.91867,                0.66843,                 1.1767,             0.00025309,             0.00025309,             0.00025309
                     80,                0.57145,                0.35654,                0.95362,                0.85083,                0.91925,                0.89911,                0.63714,                0.90583,                0.67644,                 1.1657,             0.00024209,             0.00024209,             0.00024209
                     81,                0.56046,                0.34103,                0.95048,                0.85282,                0.91687,                0.89895,                0.65043,                0.84128,                0.67599,                 1.1203,             0.00023109,             0.00023109,             0.00023109
                     82,                0.56223,                0.34938,                 0.9592,                0.83601,                0.84443,                0.88389,                  0.648,                0.85854,                0.71144,                 1.1319,             0.00022009,             0.00022009,             0.00022009
                     83,                0.56821,                0.34965,                0.96275,                0.86544,                0.81938,                0.88654,                 0.6378,                0.87538,                0.69911,                 1.1367,             0.00020909,             0.00020909,             0.00020909
                     84,                0.56106,                0.34728,                0.96315,                0.78969,                0.89853,                0.88345,                0.64437,                0.87292,                0.66385,                 1.1388,             0.00019809,             0.00019809,             0.00019809
                     85,                0.55961,                0.35033,                0.96368,                0.84207,                0.85662,                0.88333,                0.63543,                0.85766,                0.63456,                  1.134,             0.00018709,             0.00018709,             0.00018709
                     86,                0.54895,                0.34172,                0.95294,                 0.8426,                0.87567,                0.88483,                0.63667,                0.83234,                0.63205,                 1.1226,             0.00017609,             0.00017609,             0.00017609
                     87,                0.54825,                0.34637,                0.94438,                0.83564,                0.90304,                0.88502,                0.62709,                0.86517,                0.63659,                 1.1377,             0.00016509,             0.00016509,             0.00016509
                     88,                0.53519,                 0.3361,                0.94738,                0.84275,                0.88393,                0.89774,                0.63775,                0.87278,                 0.6367,                  1.137,              0.0001541,              0.0001541,              0.0001541
                     89,                0.55807,                0.34127,                0.96332,                  0.833,                0.92364,                0.90158,                0.64145,                0.86284,                0.62022,                 1.1184,              0.0001431,              0.0001431,              0.0001431
                     90,                0.53549,                0.33238,                0.94859,                0.83184,                0.92258,                0.89902,                0.64224,                0.84605,                0.61261,                 1.1126,              0.0001321,              0.0001321,              0.0001321
                     91,                0.47181,                0.28413,                0.88676,                0.77612,                 0.8725,                0.85143,                0.61457,                0.86302,                0.61459,                  1.115,              0.0001211,              0.0001211,              0.0001211
                     92,                0.46365,                 0.2796,                0.88965,                0.82531,                 0.8647,                0.85279,                0.61514,                0.85958,                 0.6029,                 1.1225,              0.0001101,              0.0001101,              0.0001101
                     93,                0.45789,                 0.2774,                0.87875,                0.86422,                0.92711,                0.90643,                0.64597,                0.84797,                0.58316,                 1.1174,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 0.4521,                0.27225,                0.87965,                0.88894,                0.90464,                0.90798,                0.65264,                0.83733,                0.59662,                 1.1136,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.43051,                0.26317,                0.87008,                0.86603,                0.92884,                0.89607,                0.65574,                0.83946,                0.60745,                 1.1295,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.43559,                 0.2662,                0.88148,                0.86139,                0.92588,                0.90225,                 0.6582,                0.85056,                 0.6172,                  1.139,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.43102,                0.26732,                0.87343,                0.85375,                0.92881,                0.89669,                0.64388,                0.84563,                0.63242,                 1.1388,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.42998,                0.26738,                0.88368,                0.84893,                0.92601,                0.89853,                0.65125,                0.83497,                0.64571,                 1.1286,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.42161,                0.25015,                0.86537,                0.85045,                0.92013,                0.89877,                0.64399,                0.83926,                0.62916,                 1.1274,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.43023,                0.26467,                0.87099,                0.84171,                0.92964,                0.89813,                0.65173,                0.83486,                0.63656,                 1.1253,             2.2109e-05,             2.2109e-05,             2.2109e-05
